 frequency       AmagdB          Aphdeg         
 1.00000000e+04  2.73214491e+01  1.79867519e+02 
 1.02305973e+04  2.73214481e+01  1.79864465e+02 
 1.04665121e+04  2.73214469e+01  1.79861339e+02 
 1.07078670e+04  2.73214458e+01  1.79858142e+02 
 1.09547876e+04  2.73214446e+01  1.79854870e+02 
 1.12074020e+04  2.73214433e+01  1.79851524e+02 
 1.14658417e+04  2.73214419e+01  1.79848100e+02 
 1.17302409e+04  2.73214405e+01  1.79844597e+02 
 1.20007371e+04  2.73214391e+01  1.79841014e+02 
 1.22774708e+04  2.73214375e+01  1.79837348e+02 
 1.25605860e+04  2.73214359e+01  1.79833597e+02 
 1.28502297e+04  2.73214342e+01  1.79829760e+02 
 1.31465525e+04  2.73214325e+01  1.79825834e+02 
 1.34497085e+04  2.73214306e+01  1.79821818e+02 
 1.37598551e+04  2.73214287e+01  1.79817709e+02 
 1.40771537e+04  2.73214266e+01  1.79813505e+02 
 1.44017690e+04  2.73214245e+01  1.79809205e+02 
 1.47338699e+04  2.73214223e+01  1.79804805e+02 
 1.50736290e+04  2.73214200e+01  1.79800304e+02 
 1.54212228e+04  2.73214176e+01  1.79795699e+02 
 1.57768320e+04  2.73214150e+01  1.79790988e+02 
 1.61406415e+04  2.73214124e+01  1.79786169e+02 
 1.65128404e+04  2.73214096e+01  1.79781238e+02 
 1.68936220e+04  2.73214067e+01  1.79776193e+02 
 1.72831844e+04  2.73214036e+01  1.79771032e+02 
 1.76817299e+04  2.73214004e+01  1.79765752e+02 
 1.80894658e+04  2.73213971e+01  1.79760351e+02 
 1.85066040e+04  2.73213936e+01  1.79754825e+02 
 1.89333613e+04  2.73213899e+01  1.79749171e+02 
 1.93699595e+04  2.73213861e+01  1.79743387e+02 
 1.98166255e+04  2.73213821e+01  1.79737470e+02 
 2.02735916e+04  2.73213779e+01  1.79731416e+02 
 2.07410951e+04  2.73213735e+01  1.79725222e+02 
 2.12193792e+04  2.73213689e+01  1.79718886e+02 
 2.17086923e+04  2.73213641e+01  1.79712404e+02 
 2.22092889e+04  2.73213591e+01  1.79705772e+02 
 2.27214291e+04  2.73213538e+01  1.79698987e+02 
 2.32453791e+04  2.73213483e+01  1.79692046e+02 
 2.37814113e+04  2.73213425e+01  1.79684945e+02 
 2.43298042e+04  2.73213365e+01  1.79677680e+02 
 2.48908429e+04  2.73213301e+01  1.79670248e+02 
 2.54648190e+04  2.73213235e+01  1.79662644e+02 
 2.60520309e+04  2.73213166e+01  1.79654865e+02 
