 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.69114639e+01  1.78732498e+02 
 1.02305973e+04  4.69113651e+01  1.78703279e+02 
 1.04665121e+04  4.69112617e+01  1.78673388e+02 
 1.07078670e+04  4.69111535e+01  1.78642808e+02 
 1.09547876e+04  4.69110402e+01  1.78611523e+02 
 1.12074020e+04  4.69109216e+01  1.78579518e+02 
 1.14658417e+04  4.69107976e+01  1.78546776e+02 
 1.17302409e+04  4.69106677e+01  1.78513280e+02 
 1.20007371e+04  4.69105318e+01  1.78479013e+02 
 1.22774708e+04  4.69103895e+01  1.78443956e+02 
 1.25605860e+04  4.69102406e+01  1.78408092e+02 
 1.28502297e+04  4.69100848e+01  1.78371403e+02 
 1.31465525e+04  4.69099217e+01  1.78333869e+02 
 1.34497085e+04  4.69097510e+01  1.78295470e+02 
 1.37598551e+04  4.69095724e+01  1.78256188e+02 
 1.40771537e+04  4.69093854e+01  1.78216002e+02 
 1.44017690e+04  4.69091897e+01  1.78174891e+02 
 1.47338699e+04  4.69089849e+01  1.78132834e+02 
 1.50736290e+04  4.69087706e+01  1.78089809e+02 
 1.54212228e+04  4.69085462e+01  1.78045794e+02 
 1.57768320e+04  4.69083114e+01  1.78000766e+02 
 1.61406415e+04  4.69080657e+01  1.77954703e+02 
 1.65128404e+04  4.69078085e+01  1.77907580e+02 
 1.68936220e+04  4.69075393e+01  1.77859374e+02 
 1.72831844e+04  4.69072576e+01  1.77810059e+02 
 1.76817299e+04  4.69069628e+01  1.77759610e+02 
 1.80894658e+04  4.69066543e+01  1.77708001e+02 
 1.85066040e+04  4.69063313e+01  1.77655206e+02 
 1.89333613e+04  4.69059934e+01  1.77601198e+02 
 1.93699595e+04  4.69056397e+01  1.77545949e+02 
 1.98166255e+04  4.69052695e+01  1.77489431e+02 
 2.02735916e+04  4.69048821e+01  1.77431614e+02 
 2.07410951e+04  4.69044766e+01  1.77372469e+02 
 2.12193792e+04  4.69040523e+01  1.77311966e+02 
 2.17086923e+04  4.69036082e+01  1.77250075e+02 
 2.22092889e+04  4.69031435e+01  1.77186762e+02 
 2.27214291e+04  4.69026571e+01  1.77121997e+02 
 2.32453791e+04  4.69021481e+01  1.77055746e+02 
 2.37814113e+04  4.69016155e+01  1.76987975e+02 
 2.43298042e+04  4.69010580e+01  1.76918651e+02 
 2.48908429e+04  4.69004746e+01  1.76847736e+02 
 2.54648190e+04  4.68998641e+01  1.76775197e+02 
 2.60520309e+04  4.68992252e+01  1.76700995e+02 
 2.66527837e+04  4.68985566e+01  1.76625094e+02 
 2.72673897e+04  4.68978569e+01  1.76547455e+02 
 2.78961683e+04  4.68971246e+01  1.76468039e+02 
 2.85394464e+04  4.68963584e+01  1.76386805e+02 
 2.91975583e+04  4.68955565e+01  1.76303713e+02 
 2.98708461e+04  4.68947175e+01  1.76218721e+02 
 3.05596598e+04  4.68938394e+01  1.76131786e+02 
 3.12643573e+04  4.68929205e+01  1.76042864e+02 
 3.19853049e+04  4.68919591e+01  1.75951912e+02 
