 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.66789917e+01  1.78759135e+02 
 1.02305973e+04  4.66788971e+01  1.78730531e+02 
 1.04665121e+04  4.66787980e+01  1.78701267e+02 
 1.07078670e+04  4.66786943e+01  1.78671329e+02 
 1.09547876e+04  4.66785858e+01  1.78640701e+02 
 1.12074020e+04  4.66784722e+01  1.78609368e+02 
 1.14658417e+04  4.66783533e+01  1.78577314e+02 
 1.17302409e+04  4.66782289e+01  1.78544521e+02 
 1.20007371e+04  4.66780986e+01  1.78510973e+02 
 1.22774708e+04  4.66779623e+01  1.78476652e+02 
 1.25605860e+04  4.66778197e+01  1.78441541e+02 
 1.28502297e+04  4.66776704e+01  1.78405622e+02 
 1.31465525e+04  4.66775141e+01  1.78368875e+02 
 1.34497085e+04  4.66773506e+01  1.78331283e+02 
 1.37598551e+04  4.66771794e+01  1.78292825e+02 
 1.40771537e+04  4.66770002e+01  1.78253482e+02 
 1.44017690e+04  4.66768127e+01  1.78213234e+02 
 1.47338699e+04  4.66766165e+01  1.78172059e+02 
 1.50736290e+04  4.66764111e+01  1.78129936e+02 
 1.54212228e+04  4.66761962e+01  1.78086845e+02 
 1.57768320e+04  4.66759712e+01  1.78042762e+02 
 1.61406415e+04  4.66757357e+01  1.77997664e+02 
 1.65128404e+04  4.66754893e+01  1.77951530e+02 
 1.68936220e+04  4.66752314e+01  1.77904334e+02 
 1.72831844e+04  4.66749615e+01  1.77856053e+02 
 1.76817299e+04  4.66746790e+01  1.77806661e+02 
 1.80894658e+04  4.66743833e+01  1.77756135e+02 
 1.85066040e+04  4.66740739e+01  1.77704446e+02 
 1.89333613e+04  4.66737501e+01  1.77651569e+02 
 1.93699595e+04  4.66734112e+01  1.77597478e+02 
 1.98166255e+04  4.66730565e+01  1.77542143e+02 
 2.02735916e+04  4.66726853e+01  1.77485537e+02 
 2.07410951e+04  4.66722968e+01  1.77427631e+02 
 2.12193792e+04  4.66718902e+01  1.77368395e+02 
 2.17086923e+04  4.66714647e+01  1.77307798e+02 
 2.22092889e+04  4.66710193e+01  1.77245811e+02 
 2.27214291e+04  4.66705533e+01  1.77182401e+02 
 2.32453791e+04  4.66700656e+01  1.77117535e+02 
 2.37814113e+04  4.66695551e+01  1.77051182e+02 
 2.43298042e+04  4.66690210e+01  1.76983306e+02 
 2.48908429e+04  4.66684619e+01  1.76913874e+02 
 2.54648190e+04  4.66678769e+01  1.76842851e+02 
 2.60520309e+04  4.66672647e+01  1.76770199e+02 
 2.66527837e+04  4.66666240e+01  1.76695883e+02 
 2.72673897e+04  4.66659535e+01  1.76619865e+02 
 2.78961683e+04  4.66652518e+01  1.76542106e+02 
 2.85394464e+04  4.66645176e+01  1.76462567e+02 
 2.91975583e+04  4.66637492e+01  1.76381208e+02 
 2.98708461e+04  4.66629451e+01  1.76297988e+02 
 3.05596598e+04  4.66621036e+01  1.76212864e+02 
 3.12643573e+04  4.66612231e+01  1.76125796e+02 
 3.19853049e+04  4.66603017e+01  1.76036737e+02 
 3.27228774e+04  4.66593375e+01  1.75945645e+02 
 3.34774581e+04  4.66583286e+01  1.75852474e+02 
 3.42494392e+04  4.66572728e+01  1.75757176e+02 
 3.50392221e+04  4.66561681e+01  1.75659706e+02 
 3.58472171e+04  4.66550121e+01  1.75560013e+02 
 3.66738442e+04  4.66538025e+01  1.75458050e+02 
 3.75195331e+04  4.66525369e+01  1.75353764e+02 
 3.83847234e+04  4.66512126e+01  1.75247106e+02 
 3.92698648e+04  4.66498270e+01  1.75138022e+02 
 4.01754173e+04  4.66483772e+01  1.75026459e+02 
 4.11018515e+04  4.66468603e+01  1.74912363e+02 
 4.20496491e+04  4.66452731e+01  1.74795677e+02 
 4.30193027e+04  4.66436126e+01  1.74676344e+02 
 4.40113162e+04  4.66418753e+01  1.74554308e+02 
 4.50262052e+04  4.66400577e+01  1.74429509e+02 
