 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.66788221e+01  1.78707872e+02 
 1.02305973e+04  4.66787195e+01  1.78678087e+02 
 1.04665121e+04  4.66786121e+01  1.78647615e+02 
 1.07078670e+04  4.66784997e+01  1.78616441e+02 
 1.09547876e+04  4.66783821e+01  1.78584549e+02 
 1.12074020e+04  4.66782590e+01  1.78551923e+02 
 1.14658417e+04  4.66781301e+01  1.78518545e+02 
 1.17302409e+04  4.66779953e+01  1.78484399e+02 
 1.20007371e+04  4.66778541e+01  1.78449467e+02 
 1.22774708e+04  4.66777064e+01  1.78413730e+02 
 1.25605860e+04  4.66775518e+01  1.78377170e+02 
 1.28502297e+04  4.66773900e+01  1.78339768e+02 
 1.31465525e+04  4.66772206e+01  1.78301506e+02 
 1.34497085e+04  4.66770434e+01  1.78262363e+02 
 1.37598551e+04  4.66768579e+01  1.78222319e+02 
 1.40771537e+04  4.66766637e+01  1.78181353e+02 
 1.44017690e+04  4.66764605e+01  1.78139444e+02 
 1.47338699e+04  4.66762478e+01  1.78096571e+02 
 1.50736290e+04  4.66760252e+01  1.78052712e+02 
 1.54212228e+04  4.66757923e+01  1.78007844e+02 
 1.57768320e+04  4.66755484e+01  1.77961943e+02 
 1.61406415e+04  4.66752933e+01  1.77914987e+02 
 1.65128404e+04  4.66750262e+01  1.77866951e+02 
 1.68936220e+04  4.66747467e+01  1.77817810e+02 
 1.72831844e+04  4.66744542e+01  1.77767539e+02 
 1.76817299e+04  4.66741480e+01  1.77716113e+02 
 1.80894658e+04  4.66738276e+01  1.77663504e+02 
 1.85066040e+04  4.66734923e+01  1.77609687e+02 
 1.89333613e+04  4.66731413e+01  1.77554632e+02 
 1.93699595e+04  4.66727740e+01  1.77498313e+02 
 1.98166255e+04  4.66723896e+01  1.77440700e+02 
 2.02735916e+04  4.66719873e+01  1.77381764e+02 
 2.07410951e+04  4.66715663e+01  1.77321475e+02 
 2.12193792e+04  4.66711257e+01  1.77259801e+02 
 2.17086923e+04  4.66706646e+01  1.77196712e+02 
 2.22092889e+04  4.66701820e+01  1.77132175e+02 
 2.27214291e+04  4.66696770e+01  1.77066157e+02 
 2.32453791e+04  4.66691485e+01  1.76998625e+02 
 2.37814113e+04  4.66685953e+01  1.76929545e+02 
 2.43298042e+04  4.66680165e+01  1.76858880e+02 
 2.48908429e+04  4.66674107e+01  1.76786596e+02 
 2.54648190e+04  4.66667768e+01  1.76712655e+02 
 2.60520309e+04  4.66661134e+01  1.76637021e+02 
 2.66527837e+04  4.66654191e+01  1.76559655e+02 
 2.72673897e+04  4.66646926e+01  1.76480517e+02 
 2.78961683e+04  4.66639323e+01  1.76399569e+02 
 2.85394464e+04  4.66631367e+01  1.76316768e+02 
 2.91975583e+04  4.66623041e+01  1.76232074e+02 
 2.98708461e+04  4.66614329e+01  1.76145444e+02 
 3.05596598e+04  4.66605212e+01  1.76056835e+02 
 3.12643573e+04  4.66595672e+01  1.75966202e+02 
 3.19853049e+04  4.66585688e+01  1.75873499e+02 
 3.27228774e+04  4.66575242e+01  1.75778681e+02 
 3.34774581e+04  4.66564311e+01  1.75681700e+02 
 3.42494392e+04  4.66552873e+01  1.75582509e+02 
 3.50392221e+04  4.66540905e+01  1.75481057e+02 
 3.58472171e+04  4.66528382e+01  1.75377295e+02 
 3.66738442e+04  4.66515278e+01  1.75271172e+02 
 3.75195331e+04  4.66501568e+01  1.75162635e+02 
 3.83847234e+04  4.66487222e+01  1.75051631e+02 
 3.92698648e+04  4.66472212e+01  1.74938106e+02 
