 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.44158616e-06  1.20790792e-05 
 1.11588399e+00  1.36471030e-06  1.14349348e-05 
 1.24519708e+00  1.29193725e-06  1.08251680e-05 
 1.38949549e+00  1.22304823e-06  1.02479456e-05 
 1.55051578e+00  1.15783614e-06  9.70153217e-06 
 1.73019574e+00  1.09610493e-06  9.18428510e-06 
 1.93069773e+00  1.03766901e-06  8.69464933e-06 
 2.15443469e+00  9.82352693e-07  8.23115283e-06 
 2.40409918e+00  9.29989686e-07  7.79240215e-06 
 2.68269580e+00  8.80422565e-07  7.37707825e-06 
 2.99357729e+00  8.33502312e-07  6.98393252e-06 
 3.34048498e+00  7.89087867e-07  6.61178300e-06 
 3.72759372e+00  7.47045704e-07  6.25951087e-06 
 4.15956216e+00  7.07249428e-07  5.92605708e-06 
 4.64158883e+00  6.69579396e-07  5.61041913e-06 
 5.17947468e+00  6.33922357e-07  5.31164809e-06 
 5.77969288e+00  6.00171113e-07  5.02884574e-06 
 6.44946677e+00  5.68224193e-07  4.76116186e-06 
 7.19685673e+00  5.37985552e-07  4.50779169e-06 
 8.03085722e+00  5.09364280e-07  4.26797347e-06 
 8.96150502e+00  4.82274329e-07  4.04098623e-06 
 1.00000000e+01  4.56634253e-07  3.82614753e-06 
 1.11588399e+01  4.32366968e-07  3.62281146e-06 
 1.24519708e+01  4.09399512e-07  3.43036669e-06 
 1.38949549e+01  3.87662835e-07  3.24823463e-06 
 1.55051578e+01  3.67091581e-07  3.07586769e-06 
 1.73019574e+01  3.47623902e-07  2.91274762e-06 
 1.93069773e+01  3.29201264e-07  2.75838397e-06 
 2.15443469e+01  3.11768274e-07  2.61231260e-06 
 2.40409918e+01  2.95272513e-07  2.47409429e-06 
 2.68269580e+01  2.79664379e-07  2.34331342e-06 
 2.99357729e+01  2.64896935e-07  2.21957671e-06 
 3.34048498e+01  2.50925769e-07  2.10251203e-06 
 3.72759372e+01  2.37708864e-07  1.99176732e-06 
 4.15956216e+01  2.25206463e-07  1.88700945e-06 
 4.64158883e+01  2.13380956e-07  1.78792329e-06 
 5.17947468e+01  2.02196763e-07  1.69421072e-06 
 5.77969288e+01  1.91620229e-07  1.60558972e-06 
 6.44946677e+01  1.81619517e-07  1.52179356e-06 
 7.19685673e+01  1.72164517e-07  1.44256993e-06 
 8.03085722e+01  1.63226752e-07  1.36768021e-06 
 8.96150502e+01  1.54779289e-07  1.29689876e-06 
 1.00000000e+02  1.46796661e-07  1.23001216e-06 
 1.11588399e+02  1.39254785e-07  1.16681862e-06 
 1.24519708e+02  1.32130888e-07  1.10712735e-06 
 1.38949549e+02  1.25403441e-07  1.05075793e-06 
 1.55051578e+02  1.19052083e-07  9.97539782e-07 
 1.73019574e+02  1.13057566e-07  9.47311607e-07 
 1.93069773e+02  1.07401689e-07  8.99920898e-07 
 2.15443469e+02  1.02067239e-07  8.55223433e-07 
 2.40409918e+02  9.70379374e-08  8.13082816e-07 
 2.68269580e+02  9.22983860e-08  7.73370020e-07 
 2.99357729e+02  8.78340149e-08  7.35962965e-07 
 3.34048498e+02  8.36310334e-08  7.00746099e-07 
 3.72759372e+02  7.96763828e-08  6.67610002e-07 
 4.15956216e+02  7.59576900e-08  6.36451001e-07 
 4.64158883e+02  7.24632238e-08  6.07170800e-07 
 5.17947468e+02  6.91818523e-08  5.79676122e-07 
 5.77969288e+02  6.61030013e-08  5.53878368e-07 
 6.44946677e+02  6.32166154e-08  5.29693283e-07 
 7.19685673e+02  6.05131198e-08  5.07040640e-07 
 8.03085722e+02  5.79833841e-08  4.85843933e-07 
 8.96150502e+02  5.56186876e-08  4.66030095e-07 
 1.00000000e+03  5.34106875e-08  4.47529218e-07 
 1.11588399e+03  5.13513883e-08  4.30274308e-07 
 1.24519708e+03  4.94331137e-08  4.14201048e-07 
 1.38949549e+03  4.76484822e-08  3.99247585e-07 
 1.55051578e+03  4.59903839e-08  3.85354346e-07 
 1.73019574e+03  4.44519617e-08  3.72463876e-07 
 1.93069773e+03  4.30265946e-08  3.60520697e-07 
 2.15443469e+03  4.17078851e-08  3.49471204e-07 
 2.40409918e+03  4.04896491e-08  3.39263580e-07 
 2.68269580e+03  3.93659085e-08  3.29847736e-07 
 2.99357729e+03  3.83308878e-08  3.21175278e-07 
 3.34048498e+03  3.73790117e-08  3.13199489e-07 
 3.72759372e+03  3.65049055e-08  3.05875337e-07 
 4.15956216e+03  3.57033974e-08  2.99159486e-07 
 4.64158883e+03  3.49695209e-08  2.93010321e-07 
 5.17947468e+03  3.42985184e-08  2.87387980e-07 
 5.77969288e+03  3.36858451e-08  2.82254380e-07 
 6.44946677e+03  3.31271718e-08  2.77573247e-07 
 7.19685673e+03  3.26183876e-08  2.73310137e-07 
 8.03085722e+03  3.21556013e-08  2.69432446e-07 
 8.96150502e+03  3.17351417e-08  2.65909411e-07 
 1.00000000e+04  3.13535563e-08  2.62712105e-07 
 1.11588399e+04  3.10076087e-08  2.59813410e-07 
 1.24519708e+04  3.06942747e-08  2.57187987e-07 
 1.38949549e+04  3.04107372e-08  2.54812231e-07 
 1.55051578e+04  3.01543795e-08  2.52664218e-07 
 1.73019574e+04  2.99227779e-08  2.50723640e-07 
 1.93069773e+04  2.97136937e-08  2.48971739e-07 
 2.15443469e+04  2.95250640e-08  2.47391232e-07 
 2.40409918e+04  2.93549926e-08  2.45966232e-07 
 2.68269580e+04  2.92017402e-08  2.44682167e-07 
 2.99357729e+04  2.90637150e-08  2.43525699e-07 
 3.34048498e+04  2.89394624e-08  2.42484644e-07 
 3.72759372e+04  2.88276559e-08  2.41547890e-07 
 4.15956216e+04  2.87270878e-08  2.40705320e-07 
 4.64158883e+04  2.86366599e-08  2.39947739e-07 
 5.17947468e+04  2.85553750e-08  2.39266794e-07 
 5.77969288e+04  2.84823287e-08  2.38654916e-07 
 6.44946677e+04  2.84167015e-08  2.38105246e-07 
 7.19685673e+04  2.83577518e-08  2.37611580e-07 
 8.03085722e+04  2.83048086e-08  2.37168311e-07 
 8.96150502e+04  2.82572654e-08  2.36770373e-07 
 1.00000000e+05  2.82145745e-08  2.36413196e-07 
 1.11588399e+05  2.81762406e-08  2.36092656e-07 
 1.24519708e+05  2.81418168e-08  2.35805040e-07 
 1.38949549e+05  2.81108991e-08  2.35547003e-07 
 1.55051578e+05  2.80831220e-08  2.35315531e-07 
 1.73019574e+05  2.80581549e-08  2.35107916e-07 
 1.93069773e+05  2.80356980e-08  2.34921721e-07 
 2.15443469e+05  2.80154785e-08  2.34754755e-07 
 2.40409918e+05  2.79972474e-08  2.34605052e-07 
 2.68269580e+05  2.79807764e-08  2.34470844e-07 
 2.99357729e+05  2.79658544e-08  2.34350545e-07 
 3.34048498e+05  2.79522844e-08  2.34242733e-07 
 3.72759372e+05  2.79398804e-08  2.34146134e-07 
 4.15956216e+05  2.79284642e-08  2.34059606e-07 
 4.64158883e+05  2.79178614e-08  2.33982128e-07 
 5.17947468e+05  2.79078980e-08  2.33912788e-07 
 5.77969288e+05  2.78983961e-08  2.33850774e-07 
 6.44946677e+05  2.78891685e-08  2.33795364e-07 
 7.19685673e+05  2.78800137e-08  2.33745919e-07 
 8.03085722e+05  2.78707087e-08  2.33701877e-07 
 8.96150502e+05  2.78610014e-08  2.33662746e-07 
 1.00000000e+06  2.78506010e-08  2.33628104e-07 
 1.11588399e+06  2.78391667e-08  2.33597591e-07 
 1.24519708e+06  2.78262937e-08  2.33570910e-07 
 1.38949549e+06  2.78114971e-08  2.33547827e-07 
 1.55051578e+06  2.77941913e-08  2.33528172e-07 
 1.73019574e+06  2.77736669e-08  2.33511841e-07 
 1.93069773e+06  2.77490615e-08  2.33498800e-07 
 2.15443469e+06  2.77193270e-08  2.33489091e-07 
 2.40409918e+06  2.76831899e-08  2.33482844e-07 
 2.68269580e+06  2.76391080e-08  2.33480281e-07 
 2.99357729e+06  2.75852205e-08  2.33481737e-07 
 3.34048498e+06  2.75192964e-08  2.33487669e-07 
 3.72759372e+06  2.74386821e-08  2.33498677e-07 
 4.15956216e+06  2.73402551e-08  2.33515519e-07 
 4.64158883e+06  2.72203910e-08  2.33539131e-07 
 5.17947468e+06  2.70749570e-08  2.33570639e-07 
 5.77969288e+06  2.68993491e-08  2.33611364e-07 
 6.44946677e+06  2.66885922e-08  2.33662809e-07 
