 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.26087742e-05  8.54057746e-05 
 1.11588399e+00  1.19361287e-05  8.08495971e-05 
 1.24519708e+00  1.12993675e-05  7.65364828e-05 
 1.38949549e+00  1.06965763e-05  7.24534651e-05 
 1.55051578e+00  1.01259429e-05  6.85882689e-05 
 1.73019574e+00  9.58575179e-06  6.49292740e-05 
 1.93069773e+00  9.07437893e-06  6.14654801e-05 
 2.15443469e+00  8.59028696e-06  5.81864739e-05 
 2.40409918e+00  8.13202052e-06  5.50823973e-05 
 2.68269580e+00  7.69820190e-06  5.21439185e-05 
 2.99357729e+00  7.28752687e-06  4.93622033e-05 
 3.34048498e+00  6.89876080e-06  4.67288889e-05 
 3.72759372e+00  6.53073492e-06  4.42360585e-05 
 4.15956216e+00  6.18234280e-06  4.18762178e-05 
 4.64158883e+00  5.85253706e-06  3.96422723e-05 
 5.17947468e+00  5.54032617e-06  3.75275058e-05 
 5.77969288e+00  5.24477152e-06  3.55255607e-05 
 6.44946677e+00  4.96498457e-06  3.36304184e-05 
 7.19685673e+00  4.70012416e-06  3.18363814e-05 
 8.03085722e+00  4.44939404e-06  3.01380561e-05 
 8.96150502e+00  4.21204042e-06  2.85303368e-05 
 1.00000000e+01  3.98734973e-06  2.70083900e-05 
 1.11588399e+01  3.77464646e-06  2.55676403e-05 
 1.24519708e+01  3.57329115e-06  2.42037563e-05 
 1.38949549e+01  3.38267845e-06  2.29126375e-05 
 1.55051578e+01  3.20223532e-06  2.16904025e-05 
 1.73019574e+01  3.03141927e-06  2.05333767e-05 
 1.93069773e+01  2.86971678e-06  1.94380817e-05 
 2.15443469e+01  2.71664169e-06  1.84012247e-05 
 2.40409918e+01  2.57173382e-06  1.74196885e-05 
 2.68269580e+01  2.43455752e-06  1.64905222e-05 
 2.99357729e+01  2.30470038e-06  1.56109324e-05 
 3.34048498e+01  2.18177202e-06  1.47782747e-05 
 3.72759372e+01  2.06540285e-06  1.39900459e-05 
 4.15956216e+01  1.95524303e-06  1.32438763e-05 
 4.64158883e+01  1.85096139e-06  1.25375226e-05 
 5.17947468e+01  1.75224441e-06  1.18688612e-05 
 5.77969288e+01  1.65879532e-06  1.12358820e-05 
 6.44946677e+01  1.57033317e-06  1.06366819e-05 
 7.19685673e+01  1.48659200e-06  1.00694595e-05 
 8.03085722e+01  1.40732008e-06  9.53250962e-06 
 8.96150502e+01  1.33227907e-06  9.02421790e-06 
 1.00000000e+02  1.26124338e-06  8.54305626e-06 
 1.11588399e+02  1.19399944e-06  8.08757815e-06 
 1.24519708e+02  1.13034510e-06  7.65641423e-06 
 1.38949549e+02  1.07008898e-06  7.24826827e-06 
 1.55051578e+02  1.01304994e-06  6.86191323e-06 
 1.73019574e+02  9.59056492e-07  6.49618758e-06 
 1.93069773e+02  9.07946315e-07  6.14999182e-06 
 2.15443469e+02  8.59565752e-07  5.82228514e-06 
 2.40409918e+02  8.13769352e-07  5.51208235e-06 
 2.68269580e+02  7.70419434e-07  5.21845085e-06 
 2.99357729e+02  7.29385672e-07  4.94050787e-06 
 3.34048498e+02  6.90544702e-07  4.67741782e-06 
 3.72759372e+02  6.53779753e-07  4.42838973e-06 
 4.15956216e+02  6.18980295e-07  4.19267493e-06 
 4.64158883e+02  5.86041705e-07  3.96956476e-06 
 5.17947468e+02  5.54864958e-07  3.75838846e-06 
 5.77969288e+02  5.25356321e-07  3.55851114e-06 
 6.44946677e+02  4.97427078e-07  3.36933188e-06 
 7.19685673e+02  4.70993261e-07  3.19028191e-06 
 8.03085722e+02  4.45975396e-07  3.02082292e-06 
 8.96150502e+02  4.22298266e-07  2.86044542e-06 
 1.00000000e+03  3.99890684e-07  2.70866723e-06 
 1.11588399e+03  3.78685277e-07  2.56503200e-06 
 1.24519708e+03  3.58618288e-07  2.42910787e-06 
 1.38949549e+03  3.39629380e-07  2.30048613e-06 
 1.55051578e+03  3.21661454e-07  2.17878004e-06 
 1.73019574e+03  3.04660481e-07  2.06362362e-06 
 1.93069773e+03  2.88575335e-07  1.95467058e-06 
 2.15443469e+03  2.73357643e-07  1.85159325e-06 
 2.40409918e+03  2.58961636e-07  1.75408162e-06 
 2.68269580e+03  2.45344011e-07  1.66184237e-06 
 2.99357729e+03  2.32463801e-07  1.57459803e-06 
 3.34048498e+03  2.20282255e-07  1.49208609e-06 
