 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  2.33574429e-05  2.33962071e-04 
 1.11588399e+00  2.21113869e-05  2.21480832e-04 
 1.24519708e+00  2.09318059e-05  2.09665445e-04 
 1.38949549e+00  1.98151534e-05  1.98480388e-04 
 1.55051578e+00  1.87580726e-05  1.87892036e-04 
 1.73019574e+00  1.77573853e-05  1.77868556e-04 
 1.93069773e+00  1.68100832e-05  1.68379813e-04 
 2.15443469e+00  1.59133183e-05  1.59397282e-04 
 2.40409918e+00  1.50643946e-05  1.50893956e-04 
 2.68269580e+00  1.42607600e-05  1.42844273e-04 
 2.99357729e+00  1.34999985e-05  1.35224032e-04 
 3.34048498e+00  1.27798228e-05  1.28010323e-04 
 3.72759372e+00  1.20980680e-05  1.21181460e-04 
 4.15956216e+00  1.14526843e-05  1.14716913e-04 
 4.64158883e+00  1.08417316e-05  1.08597246e-04 
 5.17947468e+00  1.02633731e-05  1.02804062e-04 
 5.77969288e+00  9.71586997e-06  9.73199450e-05 
 6.44946677e+00  9.19757632e-06  9.21284069e-05 
 7.19685673e+00  8.70693393e-06  8.72138403e-05 
 8.03085722e+00  8.24246776e-06  8.25614703e-05 
 8.96150502e+00  7.80278144e-06  7.81573100e-05 
 1.00000000e+01  7.38655313e-06  7.39881191e-05 
 1.11588399e+01  6.99253148e-06  7.00413635e-05 
 1.24519708e+01  6.61953193e-06  6.63051776e-05 
 1.38949549e+01  6.26643311e-06  6.27683293e-05 
 1.55051578e+01  5.93217346e-06  5.94201854e-05 
 1.73019574e+01  5.61574808e-06  5.62506802e-05 
 1.93069773e+01  5.31620569e-06  5.32502851e-05 
 2.15443469e+01  5.03264574e-06  5.04099796e-05 
 2.40409918e+01  4.76421577e-06  4.77212250e-05 
 2.68269580e+01  4.51010875e-06  4.51759377e-05 
 2.99357729e+01  4.26956077e-06  4.27664657e-05 
 3.34048498e+01  4.04184864e-06  4.04855652e-05 
 3.72759372e+01  3.82628777e-06  3.83263791e-05 
 4.15956216e+01  3.62223012e-06  3.62824161e-05 
 4.64158883e+01  3.42906221e-06  3.43475311e-05 
 5.17947468e+01  3.24620331e-06  3.25159074e-05 
 5.77969288e+01  3.07310368e-06  3.07820382e-05 
 6.44946677e+01  2.90924291e-06  2.91407111e-05 
 7.19685673e+01  2.75412838e-06  2.75869915e-05 
 8.03085722e+01  2.60729376e-06  2.61162085e-05 
 8.96150502e+01  2.46829761e-06  2.47239402e-05 
 1.00000000e+02  2.33672206e-06  2.34060010e-05 
 1.11588399e+02  2.21217154e-06  2.21584288e-05 
 1.24519708e+02  2.09427161e-06  2.09774728e-05 
 1.38949549e+02  1.98266782e-06  1.98595827e-05 
 1.55051578e+02  1.87702463e-06  1.88013976e-05 
 1.73019574e+02  1.77702446e-06  1.77997362e-05 
 1.93069773e+02  1.68236666e-06  1.68515873e-05 
 2.15443469e+02  1.59276665e-06  1.59541002e-05 
 2.40409918e+02  1.50795506e-06  1.51045768e-05 
 2.68269580e+02  1.42767692e-06  1.43004630e-05 
 2.99357729e+02  1.35169087e-06  1.35393414e-05 
 3.34048498e+02  1.27976846e-06  1.28189238e-05 
 3.72759372e+02  1.21169348e-06  1.21370442e-05 
 4.15956216e+02  1.14726125e-06  1.14916526e-05 
 4.64158883e+02  1.08627807e-06  1.08808087e-05 
 5.17947468e+02  1.02856058e-06  1.03026759e-05 
 5.77969288e+02  9.73935265e-07  9.75551616e-06 
 6.44946677e+02  9.22237881e-07  9.23768434e-06 
 7.19685673e+02  8.73312998e-07  8.74762355e-06 
 8.03085722e+02  8.27013516e-07  8.28386034e-06 
 8.96150502e+02  7.83200224e-07  7.84500029e-06 
 1.00000000e+03  7.41741383e-07  7.42972383e-06 
 1.11588399e+03  7.02512330e-07  7.03678225e-06 
 1.24519708e+03  6.65395099e-07  6.66499394e-06 
 1.38949549e+03  6.30278071e-07  6.31324085e-06 
 1.55051578e+03  5.97055631e-07  5.98046510e-06 
 1.73019574e+03  5.65627857e-07  5.66566578e-06 
 1.93069773e+03  5.35900212e-07  5.36789596e-06 
 2.15443469e+03  5.07783260e-07  5.08625982e-06 
 2.40409918e+03  4.81192400e-07  4.81990991e-06 
 2.68269580e+03  4.56047604e-07  4.56804464e-06 
 2.99357729e+03  4.32273177e-07  4.32990581e-06 
 3.34048498e+03  4.09797525e-07  4.10477628e-06 
 3.72759372e+03  3.88552942e-07  3.89197788e-06 
 4.15956216e+03  3.68475397e-07  3.69086922e-06 
 4.64158883e+03  3.49504341e-07  3.50084381e-06 
 5.17947468e+03  3.31582519e-07  3.32132816e-06 
 5.77969288e+03  3.14655796e-07  3.15178000e-06 
 6.44946677e+03  2.98672983e-07  2.99168662e-06 
 7.19685673e+03  2.83585682e-07  2.84056322e-06 
 8.03085722e+03  2.69348130e-07  2.69795142e-06 
 8.96150502e+03  2.55917054e-07  2.56341775e-06 
 1.00000000e+04  2.43251532e-07  2.43655233e-06 
 1.11588399e+04  2.31312855e-07  2.31696743e-06 
 1.24519708e+04  2.20064408e-07  2.20429627e-06 
 1.38949549e+04  2.09471536e-07  2.09819174e-06 
 1.55051578e+04  1.99501434e-07  1.99832526e-06 
 1.73019574e+04  1.90123031e-07  1.90438558e-06 
 1.93069773e+04  1.81306876e-07  1.81607771e-06 
 2.15443469e+04  1.73025037e-07  1.73312187e-06 
 2.40409918e+04  1.65250998e-07  1.65525245e-06 
 2.68269580e+04  1.57959556e-07  1.58221701e-06 
 2.99357729e+04  1.51126733e-07  1.51377538e-06 
 3.34048498e+04  1.44729682e-07  1.44969868e-06 
 3.72759372e+04  1.38746598e-07  1.38976853e-06 
 4.15956216e+04  1.33156642e-07  1.33377618e-06 
 4.64158883e+04  1.27939860e-07  1.28152177e-06 
 5.17947468e+04  1.23077115e-07  1.23281358e-06 
 5.77969288e+04  1.18550016e-07  1.18746743e-06 
 6.44946677e+04  1.14340869e-07  1.14530607e-06 
 7.19685673e+04  1.10432618e-07  1.10615865e-06 
 8.03085722e+04  1.06808805e-07  1.06986031e-06 
 8.96150502e+04  1.03453531e-07  1.03625181e-06 
 1.00000000e+05  1.00351432e-07  1.00517925e-06 
 1.11588399e+05  9.74876538e-08  9.76493844e-07 
 1.24519708e+05  9.48478421e-08  9.50051788e-07 
 1.38949549e+05  9.24181318e-08  9.25714204e-07 
 1.55051578e+05  9.01851468e-08  9.03347103e-07 
 1.73019574e+05  8.81360025e-08  8.82821417e-07 
 1.93069773e+05  8.62583115e-08  8.64013055e-07 
 2.15443469e+05  8.45401916e-08  8.46802988e-07 
 2.40409918e+05  8.29702745e-08  8.31077327e-07 
 2.68269580e+05  8.15377144e-08  8.16727414e-07 
 2.99357729e+05  8.02321949e-08  8.03649891e-07 
 3.34048498e+05  7.90439340e-08  7.91746745e-07 
 3.72759372e+05  7.79636864e-08  7.80925333e-07 
 4.15956216e+05  7.69827422e-08  7.71098368e-07 
 4.64158883e+05  7.60929230e-08  7.62183870e-07 
 5.17947468e+05  7.52865734e-08  7.54105088e-07 
 5.77969288e+05  7.45565502e-08  7.46790383e-07 
 6.44946677e+05  7.38962078e-08  7.40173082e-07 
 7.19685673e+05  7.32993819e-08  7.34191301e-07 
 8.03085722e+05  7.27603699e-08  7.28787751e-07 
