 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.99530391e-05  1.06446880e-04 
 1.11588399e+00  1.88885897e-05  1.00768180e-04 
 1.24519708e+00  1.78809263e-05  9.53924265e-05 
 1.38949549e+00  1.69270195e-05  9.03034571e-05 
 1.55051578e+00  1.60240014e-05  8.54859727e-05 
 1.73019574e+00  1.51691574e-05  8.09254903e-05 
 1.93069773e+00  1.43599173e-05  7.66082993e-05 
 2.15443469e+00  1.35938484e-05  7.25214208e-05 
 2.40409918e+00  1.28686475e-05  6.86525681e-05 
 2.68269580e+00  1.21821345e-05  6.49901100e-05 
 2.99357729e+00  1.15322454e-05  6.15230359e-05 
 3.34048498e+00  1.09170264e-05  5.82409224e-05 
 3.72759372e+00  1.03346280e-05  5.51339023e-05 
 4.15956216e+00  9.78329928e-06  5.21926347e-05 
 4.64158883e+00  9.26138268e-06  4.94082773e-05 
 5.17947468e+00  8.76730917e-06  4.67724591e-05 
 5.77969288e+00  8.29959338e-06  4.42772560e-05 
 6.44946677e+00  7.85682920e-06  4.19151664e-05 
 7.19685673e+00  7.43768550e-06  3.96790890e-05 
 8.03085722e+00  7.04090219e-06  3.75623014e-05 
 8.96150502e+00  6.66528640e-06  3.55584398e-05 
 1.00000000e+01  6.30970889e-06  3.36614798e-05 
 1.11588399e+01  5.97310065e-06  3.18657185e-05 
 1.24519708e+01  5.65444974e-06  3.01657571e-05 
 1.38949549e+01  5.35279815e-06  2.85564850e-05 
 1.55051578e+01  5.06723903e-06  2.70330641e-05 
 1.73019574e+01  4.79691387e-06  2.55909143e-05 
 1.93069773e+01  4.54100999e-06  2.42257002e-05 
 2.15443469e+01  4.29875803e-06  2.29333174e-05 
 2.40409918e+01  4.06942970e-06  2.17098805e-05 
 2.68269580e+01  3.85233556e-06  2.05517114e-05 
 2.99357729e+01  3.64682294e-06  1.94553282e-05 
 3.34048498e+01  3.45227400e-06  1.84174348e-05 
 3.72759372e+01  3.26810386e-06  1.74349109e-05 
 4.15956216e+01  3.09375882e-06  1.65048027e-05 
 4.64158883e+01  2.92871475e-06  1.56243139e-05 
 5.17947468e+01  2.77247546e-06  1.47907976e-05 
 5.77969288e+01  2.62457124e-06  1.40017477e-05 
 6.44946677e+01  2.48455744e-06  1.32547922e-05 
 7.19685673e+01  2.35201312e-06  1.25476854e-05 
 8.03085722e+01  2.22653981e-06  1.18783016e-05 
 8.96150502e+01  2.10776029e-06  1.12446282e-05 
 1.00000000e+02  1.99531747e-06  1.06447603e-05 
 1.11588399e+02  1.88887329e-06  1.00768944e-05 
 1.24519708e+02  1.78810776e-06  9.53932333e-06 
 1.38949549e+02  1.69271793e-06  9.03043093e-06 
 1.55051578e+02  1.60241702e-06  8.54868730e-06 
