 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  7.28235644e-06  3.92316295e-05 
 1.11588399e+00  6.89385934e-06  3.71387115e-05 
 1.24519708e+00  6.52608768e-06  3.51574461e-05 
 1.38949549e+00  6.17793583e-06  3.32818767e-05 
 1.55051578e+00  5.84835709e-06  3.15063647e-05 
 1.73019574e+00  5.53636065e-06  2.98255724e-05 
 1.93069773e+00  5.24100852e-06  2.82344466e-05 
 2.15443469e+00  4.96141277e-06  2.67282038e-05 
 2.40409918e+00  4.69673283e-06  2.53023158e-05 
 2.68269580e+00  4.44617298e-06  2.39524957e-05 
 2.99357729e+00  4.20897995e-06  2.26746855e-05 
 3.34048498e+00  3.98444065e-06  2.14650437e-05 
 3.72759372e+00  3.77188002e-06  2.03199336e-05 
 4.15956216e+00  3.57065904e-06  1.92359126e-05 
 4.64158883e+00  3.38017275e-06  1.82097218e-05 
 5.17947468e+00  3.19984850e-06  1.72382761e-05 
 5.77969288e+00  3.02914416e-06  1.63186548e-05 
 6.44946677e+00  2.86754653e-06  1.54480934e-05 
 7.19685673e+00  2.71456978e-06  1.46239746e-05 
 8.03085722e+00  2.56975402e-06  1.38438208e-05 
 8.96150502e+00  2.43266388e-06  1.31052866e-05 
 1.00000000e+01  2.30288721e-06  1.24061516e-05 
 1.11588399e+01  2.18003386e-06  1.17443140e-05 
 1.24519708e+01  2.06373449e-06  1.11177841e-05 
 1.38949549e+01  1.95363945e-06  1.05246783e-05 
 1.55051578e+01  1.84941776e-06  9.96321353e-06 
 1.73019574e+01  1.75075609e-06  9.43170180e-06 
 1.93069773e+01  1.65735784e-06  8.92854519e-06 
 2.15443469e+01  1.56894221e-06  8.45223105e-06 
 2.40409918e+01  1.48524338e-06  8.00132739e-06 
 2.68269580e+01  1.40600974e-06  7.57447864e-06 
 2.99357729e+01  1.33100308e-06  7.17040152e-06 
 3.34048498e+01  1.25999790e-06  6.78788124e-06 
 3.72759372e+01  1.19278073e-06  6.42576780e-06 
