 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  2.37830592e-06  2.39999014e-05 
 1.11588399e+00  2.25155619e-06  2.27208477e-05 
 1.24519708e+00  2.13157545e-06  2.15101010e-05 
 1.38949549e+00  2.01800299e-06  2.03640214e-05 
 1.55051578e+00  1.91049737e-06  1.92791634e-05 
 1.73019574e+00  1.80873539e-06  1.82522655e-05 
 1.93069773e+00  1.71241111e-06  1.72802403e-05 
 2.15443469e+00  1.62123494e-06  1.63601656e-05 
 2.40409918e+00  1.53493278e-06  1.54892754e-05 
 2.68269580e+00  1.45324515e-06  1.46649513e-05 
 2.99357729e+00  1.37592648e-06  1.38847150e-05 
 3.34048498e+00  1.30274431e-06  1.31462209e-05 
 3.72759372e+00  1.23347863e-06  1.24472488e-05 
 4.15956216e+00  1.16792117e-06  1.17856970e-05 
 4.64158883e+00  1.10587486e-06  1.11595768e-05 
 5.17947468e+00  1.04715314e-06  1.05670057e-05 
 5.77969288e+00  9.91579469e-07  1.00062020e-05 
 6.44946677e+00  9.38986749e-07  9.47547967e-06 
 7.19685673e+00  8.89216853e-07  8.97324294e-06 
 8.03085722e+00  8.42120136e-07  8.49798172e-06 
 8.96150502e+00  7.97554984e-07  8.04826697e-06 
 1.00000000e+01  7.55387391e-07  7.62274641e-06 
 1.11588399e+01  7.15490555e-07  7.22014045e-06 
 1.24519708e+01  6.77744491e-07  6.83923832e-06 
 1.38949549e+01  6.42035679e-07  6.47889444e-06 
 1.55051578e+01  6.08256712e-07  6.13802496e-06 
 1.73019574e+01  5.76305976e-07  5.81560450e-06 
 1.93069773e+01  5.46087345e-07  5.51066300e-06 
 2.15443469e+01  5.17509885e-07  5.22228285e-06 
 2.40409918e+01  4.90487584e-07  4.94959608e-06 
 2.68269580e+01  4.64939087e-07  4.69178173e-06 
 2.99357729e+01  4.40787450e-07  4.44806332e-06 
 3.34048498e+01  4.17959905e-07  4.21770657e-06 
 3.72759372e+01  3.96387638e-07  4.00001705e-06 
 4.15956216e+01  3.76005577e-07  3.79433811e-06 
 4.64158883e+01  3.56752194e-07  3.60004885e-06 
 5.17947468e+01  3.38569310e-07  3.41656218e-06 
 5.77969288e+01  3.21401916e-07  3.24332300e-06 
 6.44946677e+01  3.05197999e-07  3.07980644e-06 
 7.19685673e+01  2.89908379e-07  2.92551621e-06 
 8.03085722e+01  2.75486550e-07  2.77998301e-06 
 8.96150502e+01  2.61888530e-07  2.64276301e-06 
 1.00000000e+02  2.49072717e-07  2.51343639e-06 
 1.11588399e+02  2.36999748e-07  2.39160595e-06 
 1.24519708e+02  2.25632371e-07  2.27689575e-06 
 1.38949549e+02  2.14935312e-07  2.16894987e-06 
 1.55051578e+02  2.04875157e-07  2.06743107e-06 
